Sample;Mammalia;Dipnotetrapodomorpha;Insecta;Actinopteri;Aves;Malacostraca;Lepidosauria;Chondrichthyes;Amphibia;Arachnida;Cladistia;Thermoanaerobaculia;Zetaproteobacteria;Oligoflexia;Gammaproteobacteria;Alphaproteobacteria;Synergistia;Nitrospira;Chrysiogenetes;Deferribacteres;Acidobacteriia;Hydrogenophilalia;Holophagae;Betaproteobacteria;Acidithiobacillia;Coprothermobacteria;Aquificae;Fusobacteriia;Vicinamibacteria;Thermodesulfovibrionia;Thermotogae;Spirochaetia;Thermodesulfobacteria;Blastocatellia;Endomicrobia;Thermoplasmata;Elusimicrobia;Calditrichia;Thermococci;Dictyoglomia;Calditrichae;Methanonatronarchaeia;Dehalococcoidia;Faserviricetes;Phycisphaerae;Thermolithobacteria;Actinomycetia;Epsilonproteobacteria;Caudoviricetes;Coriobacteriia;Planctomycetia;Chthonomonadetes;Nitriliruptoria;Chitinivibrionia;Ktedonobacteria;Thermoleophilia;Acidimicrobiia;Chitinispirillia;Lentisphaeria;Deinococci;Duplopiviricetes;Tissierellia;Revtraviricetes;Limnochordia;Bacilli;Verrucomicrobiae;Fibrobacteria;Chlamydiia;Terrimicrobia;Methanobacteria;Megaviricetes;Kiritimatiellae;Pisoniviricetes;Mollicutes;Deltaproteobacteria;Anaerolineae;Chloroflexia;Thermoprotei;Malgrandaviricetes;Erysipelotrichia;Clostridia;Ardenticatenia;Negativicutes;Halobacteria;Rubrobacteria;Methanomicrobia;Arfiviricetes;Gemmatimonadetes;Nitrospinia;Longimicrobia;Thermomicrobia;Opitutae;Caldilineae;Herviviricetes;Tectiliviricetes;Tichowtungiia;Armatimonadia;Bigyra;Papovaviricetes;Spartobacteria;Quintoviricetes;Desulfuribacillia;Tolucaviricetes;Fimbriimonadia;Pokkesviricetes;Tokiviricetes;Caldisericia;Repensiviricetes;Eumycetozoa;Candidatus Thermofonsia;Culicoidibacteria;Chrymotiviricetes;Methanococci;Vidaverviricetes;Flasuviricetes;Oligosphaeria;Thermoflexia;Tepidiformia;Candidatus Cryosericia;Balneolia;Cytophagia;Candidatus Nanoperiomorbia;Flavobacteriia;Saprospiria;Chlorobia;Sphingobacteriia;Bacteroidia;Rhodothermia;Ignavibacteria;Candidatus Saccharimonadia;Chitinophagia;Gloeobacteria;Candidatus Saccharimonia;Candidatus Nanosyncoccalia;Ellioviricetes;Aconoidasida;Demospongiae;Chlorophyceae;Hydrozoa;Oligohymenophorea
SRR15595321;24114463;24305444;0;0;0;0;0;0;0;0;0;0;0;0;19966;143;0;0;0;0;0;0;0;298;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4532;22;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12822;0;0;0;0;0;0;0;0;0;0;0;0;104;0;1;905;0;0;0;0;17;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;942;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595249;448;452;0;0;0;0;0;0;0;0;0;1;0;1;99869;1158;98;0;0;1;8;0;0;2097;1;1;0;107;4;0;30;62;0;8;0;0;0;0;0;0;1;0;1;0;0;0;1614432;105;159;446131;12;0;4;0;2;1;3;0;459;90;0;95;0;10;204947;96206;17;0;0;31;0;0;0;12;2461;9;2;69;5;96423;2422770;0;279212;0;6;73;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;52;0;0;15;1659922;3;3;0;45;0;6;0;0;0;0;0;0;0
SRR22402358;4036;0;0;0;0;5;0;0;0;0;0;0;0;0;199839;210;81;0;0;0;2;0;1;151199;0;0;1;202;0;0;14;6;0;2;0;0;0;0;0;0;0;0;0;373;0;0;70637;314;129104;116718;0;2;0;0;0;0;0;0;0;4;0;352;0;0;8918;0;6;0;0;0;0;0;0;2;10;3;0;0;5;23429;5847634;0;367635;4;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;45;0;3;4;14468755;0;12;18;1;0;0;0;0;0;0;0;0;0
SRR22402261;13607;0;0;7;1;4;0;0;0;0;0;0;0;0;48854;21897;102376;0;0;1;9;0;0;2824;0;0;9;82;1;0;15;465;0;3;1;0;0;0;0;0;0;0;0;2537;6;0;4806;206;467346;84085;12;5;0;0;10;0;1;0;71428;49;5;1224;0;10;9844;618380;14;0;0;0;0;0;0;17;579;19;0;0;4054;31514;9140493;0;270812;23;10;0;17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287;0;79;0;0;14;16997844;0;0;48;37;0;0;0;0;0;0;0;0;0
SRR22402276;8344;0;5;3;6;0;2;0;0;0;0;0;2;5;30382;1660;298;0;0;3;25;1;0;1044221;5;2;2;2444;0;0;318;347;0;2;0;0;0;0;0;0;0;0;9;4500;0;0;1376085;988;1538490;908072;7;0;0;0;3;0;1;0;0;52;0;8422;0;1;266349;1184;11;1;0;0;0;0;0;121;13822;0;0;0;306;426105;48829995;0;1141840;56;3;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;219;0;862;5;2;158;93282565;0;0;159;113;0;0;0;0;1;0;0;0;0
SRR22402269;18877;0;6;0;17;17;0;0;0;0;0;0;16;0;96816;2590;221;0;0;26;2;0;0;292364;3;1;0;1068;0;0;47;413;1;3;0;0;0;0;0;0;0;0;0;11155;15;0;1621460;958;750640;366703;3;1;4;0;0;0;0;0;94025;192;20;5732;0;2;84614;1580;73;0;0;5056;0;0;0;301;111944;97;0;0;342;67106;13907916;0;950148;31;1;0;0;0;0;2;0;0;9;0;0;0;0;0;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;225;0;0;9;18567614;0;0;892;434;0;0;43;0;0;0;0;0;0
SRR15595311;24066;24262;0;3;0;0;0;0;0;0;0;0;0;0;383477;214;6;0;0;0;0;0;1;4670;0;0;1;18;0;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1033860;151;833;512584;0;0;0;0;0;0;0;0;0;9;0;431;0;1;37345;96;4;1;0;2628;0;0;0;20;18;1;0;54;81;478945;1802411;0;173139;3;1;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;52;0;0;0;540251;0;0;0;48;0;269;0;0;0;0;0;0;0
SRR15595256;20532606;20674472;0;0;0;0;0;0;0;0;0;0;0;0;21259;239;0;0;0;0;0;0;0;194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3786;11;0;92;7;0;0;0;0;0;0;0;0;0;0;0;2;0;9596;6;0;0;0;0;0;0;0;0;0;0;0;139;0;6;1037;0;21;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402370;16981;0;0;0;0;0;0;0;0;0;0;0;0;1;676402;3447;17834;0;0;0;84;0;5;183717;0;0;12;31;0;0;16;80;0;3;3;0;0;0;0;0;0;0;0;16631;0;0;13923;30;430983;139753;6;3;3;0;0;23;14;0;9;77;8;128;0;4;652808;512971;14;1;0;0;3;0;0;5;196890;4;0;0;428;43777;11432247;1;38078;146;1;0;0;0;0;8;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;162;0;49;1;15;31;12397760;0;0;397;6;0;0;0;0;0;0;0;0;0
SRR15595269;4653;4699;0;0;9;3;0;0;0;0;0;0;0;1;36737;183;2;0;3;6;2;0;2;626;0;1;1;179;0;0;10;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4849033;75;86;474150;2;2;0;0;1;0;2;0;0;13;0;531;0;1;114862;370;1;0;0;59;0;0;0;9;2683;0;0;90;79;127522;4338287;1;355229;27;1;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;29;10;0;0;0;487030;0;0;0;5;0;169;0;0;0;0;0;0;0
